,accuracy,precision,recall,f1_score,roc_auc,specificity,threshold
LightGBM,0.6919270256296625,0.8441831163376733,0.5396697543294402,0.6584227336008517,0.726551414423774,0.8781609195402299,0.5
Voting,0.6919639559790236,0.841617172032927,0.5421533091690159,0.6594815268422127,0.7277960079278006,0.8752052545155994,0.5
Stacking,0.6921486077258291,0.844932716568545,0.5394683850181232,0.6585006145022532,0.7314036377856562,0.8788998357963875,0.5
